Sample,x_mm,y_mm,Row,Column
1,5.4000001,6.6500001,1,1
2,9.3999996,6.6500001,1,2
3,13.4,6.6500001,1,3
4,17.4,6.6500001,1,4
5,21.4,6.6500001,1,5
6,25.4,6.6500001,1,6
7,29.4,6.6500001,1,7
8,33.400002,6.6500001,1,8
9,37.400002,6.6500001,1,9
10,41.400002,6.6500001,1,10
11,45.400002,6.6500001,1,11
12,5.4000001,19.15,2,1
13,9.3999996,19.15,2,2
14,13.4,19.15,2,3
15,17.4,19.15,2,4
16,21.4,19.15,2,5
17,25.4,19.15,2,6
18,29.4,19.15,2,7
19,33.400002,19.15,2,8
20,37.400002,19.15,2,9
21,41.400002,19.15,2,10
22,45.400002,19.15,2,11
23,5.4000001,31.65,3,1
24,9.3999996,31.65,3,2
25,13.4,31.65,3,3
26,17.4,31.65,3,4
27,21.4,31.65,3,5
28,25.4,31.65,3,6
29,29.4,31.65,3,7
30,33.400002,31.65,3,8
31,37.400002,31.65,3,9
32,41.400002,31.65,3,10
33,45.400002,31.65,3,11
34,5.4000001,44.150002,4,1
35,9.3999996,44.150002,4,2
36,13.4,44.150002,4,3
37,17.4,44.150002,4,4
38,21.4,44.150002,4,5
39,25.4,44.150002,4,6
40,29.4,44.150002,4,7
41,33.400002,44.150002,4,8
42,37.400002,44.150002,4,9
43,41.400002,44.150002,4,10
44,45.400002,44.150002,4,11
