H	K	L	2THETA	D-VALUE	MULT	INTENSITY
1	0	1	11.39	7.7694	2	9.5
1	0	-1	11.39	7.7694	2	9.5
0	1	-1	14.55	6.0888	2	43.7
0	1	1	14.55	6.0888	2	43.7
0	0	2	16.01	5.5345	2	575.3
2	0	0	16.25	5.4540	2	2.8
1	1	1	16.67	5.3166	2	10.1
1	1	-1	16.67	5.3166	2	10.1
1	-1	1	16.67	5.3166	2	10.1
1	-1	-1	16.67	5.3166	2	10.1
1	0	2	17.97	4.9356	2	16.0
1	0	-2	17.97	4.9356	2	16.0
2	0	-1	18.13	4.8924	2	66.1
2	0	1	18.13	4.8924	2	66.1
2	-1	0	20.33	4.3673	2	882.0
2	1	0	20.33	4.3673	2	882.0
1	-1	2	21.74	4.0872	2	119.5
1	1	-2	21.74	4.0872	2	119.5
1	1	2	21.74	4.0871	2	119.5
1	-1	-2	21.74	4.0871	2	119.5
2	-1	-1	21.88	4.0625	2	22.1
2	-1	1	21.88	4.0625	2	22.1
2	1	-1	21.88	4.0625	2	22.1
2	1	1	21.88	4.0625	2	22.1
2	0	2	22.89	3.8847	2	50.4
2	0	-2	22.89	3.8847	2	50.4
0	2	0	24.42	3.6455	2	1000.0
1	0	-3	25.48	3.4951	2	19.4
1	0	3	25.48	3.4951	2	19.4
3	0	1	25.79	3.4544	2	257.5
3	0	-1	25.79	3.4544	2	257.5
2	1	-2	25.99	3.4284	2	167.8
2	1	2	25.99	3.4284	2	167.8
2	-1	2	25.99	3.4284	2	167.8
2	-1	-2	25.99	3.4284	2	167.8
1	2	1	27.02	3.3003	2	146.2
1	-2	-1	27.02	3.3003	2	146.2
1	2	-1	27.02	3.3003	2	146.2
1	-2	1	27.02	3.3003	2	146.2
0	1	-3	27.08	3.2921	2	53.7
0	1	3	27.08	3.2921	2	53.7
1	-1	3	28.32	3.1517	2	76.0
1	1	3	28.32	3.1517	2	76.0
1	1	-3	28.32	3.1517	2	76.0
1	-1	-3	28.32	3.1517	2	76.0
3	1	-1	28.59	3.1217	2	79.1
3	1	1	28.59	3.1217	2	79.1
3	-1	1	28.59	3.1217	2	79.1
3	-1	-1	28.59	3.1217	2	79.1
2	0	-3	29.22	3.0560	2	403.1
2	0	3	29.22	3.0560	2	403.1
0	2	-2	29.34	3.0444	2	131.8
0	2	2	29.34	3.0444	2	131.8
3	0	-2	29.39	3.0389	2	542.6
3	0	2	29.39	3.0389	2	542.6
2	-2	0	29.47	3.0308	2	64.9
2	2	0	29.47	3.0308	2	64.9
1	2	-2	30.48	2.9323	2	232.0
1	-2	2	30.48	2.9323	2	232.0
1	-2	-2	30.48	2.9323	2	232.0
1	2	2	30.48	2.9323	2	232.0
2	-2	1	30.58	2.9232	2	505.3
2	-2	-1	30.58	2.9232	2	505.3
2	2	-1	30.58	2.9232	2	505.3
2	2	1	30.58	2.9232	2	505.3
2	1	-3	31.75	2.8185	2	0.7
2	1	3	31.75	2.8185	2	0.7
2	-1	3	31.75	2.8185	2	0.7
2	-1	-3	31.75	2.8185	2	0.7
3	-1	-2	31.90	2.8050	2	7.4
3	1	-2	31.90	2.8050	2	7.4
3	-1	2	31.90	2.8050	2	7.4
3	1	2	31.90	2.8050	2	7.4
0	0	4	32.35	2.7672	2	115.6
4	0	0	32.84	2.7270	2	397.8
1	0	4	33.41	2.6823	2	228.6
1	0	-4	33.41	2.6823	2	228.6
2	2	2	33.72	2.6583	2	0.0
2	-2	-2	33.72	2.6583	2	0.0
2	-2	2	33.72	2.6583	2	0.0
2	2	-2	33.72	2.6583	2	0.0
4	0	-1	33.85	2.6478	2	90.6
4	0	1	33.85	2.6478	2	90.6
3	0	3	34.64	2.5898	2	0.0
3	0	-3	34.64	2.5898	2	0.0
4	-1	0	35.13	2.5542	2	41.8
4	1	0	35.13	2.5542	2	41.8
1	2	3	35.58	2.5229	2	214.7
1	2	-3	35.58	2.5229	2	214.7
1	-2	3	35.58	2.5229	2	214.7
1	-2	-3	35.58	2.5229	2	214.7
1	1	-4	35.67	2.5173	2	42.4
1	-1	4	35.67	2.5173	2	42.4
1	1	4	35.67	2.5173	2	42.4
1	-1	-4	35.67	2.5173	2	42.4
3	2	1	35.81	2.5075	2	34.0
3	2	-1	35.81	2.5075	2	34.0
3	-2	-1	35.81	2.5075	2	34.0
3	-2	1	35.81	2.5075	2	34.0
4	1	-1	36.09	2.4888	2	46.6
4	1	1	36.09	2.4888	2	46.6
4	-1	1	36.09	2.4888	2	46.6
4	-1	-1	36.09	2.4888	2	46.6
2	0	4	36.41	2.4678	2	4.0
2	0	-4	36.41	2.4678	2	4.0
4	0	-2	36.74	2.4462	2	234.0
4	0	2	36.74	2.4462	2	234.0
3	1	-3	36.83	2.4404	2	17.5
3	-1	-3	36.83	2.4404	2	17.5
3	1	3	36.83	2.4404	2	17.5
3	-1	3	36.83	2.4404	2	17.5
0	3	1	37.90	2.3738	2	2.0
0	3	-1	37.90	2.3738	2	2.0
2	2	3	38.44	2.3420	2	35.4
2	2	-3	38.44	2.3420	2	35.4
2	-2	-3	38.44	2.3420	2	35.4
2	-2	3	38.44	2.3420	2	35.4
2	1	-4	38.51	2.3375	2	0.9
2	1	4	38.51	2.3375	2	0.9
2	-1	4	38.51	2.3375	2	0.9
2	-1	-4	38.51	2.3375	2	0.9
3	-2	-2	38.57	2.3342	2	2.6
3	2	-2	38.57	2.3342	2	2.6
3	-2	2	38.57	2.3342	2	2.6
3	2	2	38.57	2.3342	2	2.6
1	3	1	38.82	2.3195	2	3.6
1	3	-1	38.82	2.3195	2	3.6
1	-3	-1	38.82	2.3195	2	3.6
1	-3	1	38.82	2.3195	2	3.6
4	-1	2	38.83	2.3191	2	21.9
4	-1	-2	38.83	2.3191	2	21.9
4	1	-2	38.83	2.3191	2	21.9
4	1	2	38.83	2.3191	2	21.9
2	3	0	40.64	2.2199	2	52.0
2	-3	0	40.64	2.2199	2	52.0
0	2	-4	40.94	2.2041	2	43.2
0	2	4	40.94	2.2041	2	43.2
3	0	-4	40.98	2.2020	2	1.3
3	0	4	40.98	2.2020	2	1.3
4	0	-3	41.16	2.1930	2	2.7
4	0	3	41.16	2.1930	2	2.7
4	-2	0	41.35	2.1836	2	6.1
4	2	0	41.35	2.1836	2	6.1
1	-3	-2	41.41	2.1803	2	35.1
1	3	-2	41.41	2.1803	2	35.1
1	-3	2	41.41	2.1803	2	35.1
1	3	2	41.41	2.1803	2	35.1
2	-3	-1	41.49	2.1766	2	1.1
2	-3	1	41.49	2.1766	2	1.1
2	3	1	41.49	2.1766	2	1.1
2	3	-1	41.49	2.1766	2	1.1
1	0	-5	41.63	2.1696	2	26.6
1	0	5	41.63	2.1696	2	26.6
1	2	-4	41.81	2.1605	2	0.4
1	-2	4	41.81	2.1605	2	0.4
1	2	4	41.81	2.1605	2	0.4
1	-2	-4	41.81	2.1605	2	0.4
4	-2	1	42.18	2.1424	2	0.5
4	-2	-1	42.18	2.1424	2	0.5
4	2	-1	42.18	2.1424	2	0.5
