PDAC_COM5_00280

220
Contact Size, 0.190000_mm^2
Starting Voltage,0.000000_Volts
Ending Voltage,10.000000_Volts

Contact Number, 42.000000
Contact X position (mm), -32.000000
Contact Y position (mm), 0.750000

Current_A,Voltage_V, Temp_C
-1.250188E-9,0.000000E+0,2.500000E+1
1.280263E-11,-1.010000E-1,2.500000E+1
-9.014761E-12,-2.020000E-1,2.500000E+1
-4.503865E-11,-3.030000E-1,2.500000E+1
-6.330443E-11,-4.040000E-1,2.500000E+1
-4.503867E-11,-5.050000E-1,2.500000E+1
-1.150574E-10,-6.060000E-1,2.500000E+1
-9.577680E-11,-7.070000E-1,2.500000E+1
-1.064318E-10,-8.080000E-1,2.500000E+1
-1.084613E-10,-9.090000E-1,2.500000E+1
-1.241902E-10,-1.010000E+0,2.500000E+1
-1.125204E-10,-1.111000E+0,2.500000E+1
-1.597079E-10,-1.212000E+0,2.500000E+1
-1.718863E-10,-1.313000E+0,2.500000E+1
-2.322711E-10,-1.414000E+0,2.500000E+1
-2.292265E-10,-1.515000E+0,2.500000E+1
-2.672842E-10,-1.616000E+0,2.500000E+1
-2.540908E-10,-1.717000E+0,2.500000E+1
-3.225948E-10,-1.818000E+0,2.500000E+1
-3.083864E-10,-1.919000E+0,2.500000E+1
-3.845017E-10,-2.020000E+0,2.500000E+1
-4.205295E-10,-2.121000E+0,2.500000E+1
-4.408269E-10,-2.222000E+0,2.500000E+1
-4.966449E-10,-2.323000E+0,2.500000E+1
-5.265835E-10,-2.424000E+0,2.500000E+1
-6.219820E-10,-2.525500E+0,2.500000E+1
-6.747553E-10,-2.626500E+0,2.500000E+1
-6.991115E-10,-2.727500E+0,2.500000E+1
-7.726898E-10,-2.828500E+0,2.500000E+1
-8.645349E-10,-2.929500E+0,2.500000E+1
-9.381146E-10,-3.030500E+0,2.500000E+1
-1.018797E-9,-3.131500E+0,2.500000E+1
-1.067003E-9,-3.232500E+0,2.500000E+1
-1.184728E-9,-3.333500E+0,2.500000E+1
-1.233442E-9,-3.434500E+0,2.500000E+1
-1.298394E-9,-3.535500E+0,2.500000E+1
-1.431340E-9,-3.636500E+0,2.500000E+1
-1.582049E-9,-3.737500E+0,2.500000E+1
-1.634823E-9,-3.838500E+0,2.500000E+1
-1.745952E-9,-3.939500E+0,2.500000E+1
-1.820544E-9,-4.040500E+0,2.500000E+1
-1.963643E-9,-4.141500E+0,2.500000E+1
-2.074261E-9,-4.242500E+0,2.500000E+1
-2.191986E-9,-4.343500E+0,2.500000E+1
-2.367558E-9,-4.444500E+0,2.500000E+1
-2.432006E-9,-4.545500E+0,2.500000E+1
-2.581188E-9,-4.646500E+0,2.500000E+1
-2.693332E-9,-4.747500E+0,2.500000E+1
-2.820701E-9,-4.848500E+0,2.500000E+1
-2.929291E-9,-4.949500E+0,2.500000E+1
-3.076444E-9,-5.050500E+0,2.500000E+1
-3.219037E-9,-5.151500E+0,2.500000E+1
-3.348940E-9,-5.252500E+0,2.500000E+1
-3.430631E-9,-5.353500E+0,2.500000E+1
-3.608238E-9,-5.454500E+0,2.500000E+1
-3.684354E-9,-5.555500E+0,2.500000E+1
-3.816289E-9,-5.656500E+0,2.500000E+1
-3.920312E-9,-5.757500E+0,2.500000E+1
-4.115673E-9,-5.858500E+0,2.500000E+1
-4.244054E-9,-5.959500E+0,2.500000E+1
-4.384105E-9,-6.060500E+0,2.500000E+1
-4.550548E-9,-6.161500E+0,2.500000E+1
-4.692120E-9,-6.262500E+0,2.500000E+1
-4.807307E-9,-6.363500E+0,2.500000E+1
-4.979330E-9,-6.464500E+0,2.500000E+1
-5.148307E-9,-6.565500E+0,2.500000E+1
-5.336561E-9,-6.666500E+0,2.500000E+1
-5.492344E-9,-6.767500E+0,2.500000E+1
-5.625802E-9,-6.868500E+0,2.500000E+1
-5.798324E-9,-6.969500E+0,2.500000E+1
-5.893731E-9,-7.070500E+0,2.500000E+1
-6.076407E-9,-7.171500E+0,2.500000E+1
-6.240811E-9,-7.272500E+0,2.500000E+1
-6.411316E-9,-7.373500E+0,2.500000E+1
-6.591454E-9,-7.475000E+0,2.500000E+1
-6.804574E-9,-7.576000E+0,2.500000E+1
-6.924841E-9,-7.677000E+0,2.500000E+1
-7.167895E-9,-7.778000E+0,2.500000E+1
-7.316073E-9,-7.879000E+0,2.500000E+1
-7.472362E-9,-7.980000E+0,2.500000E+1
-7.642868E-9,-8.081000E+0,2.500000E+1
-7.848878E-9,-8.182000E+0,2.500000E+1
-8.023942E-9,-8.283000E+0,2.500000E+1
-8.185807E-9,-8.384000E+0,2.500000E+1
-8.233004E-9,-8.485000E+0,2.500000E+1
-8.356312E-9,-8.586000E+0,2.500000E+1
-8.600383E-9,-8.687000E+0,2.500000E+1
-8.814021E-9,-8.788000E+0,2.500000E+1
-8.934280E-9,-8.889000E+0,2.500000E+1
-9.160594E-9,-8.990000E+0,2.500000E+1
-9.362560E-9,-9.091000E+0,2.500000E+1
-9.539657E-9,-9.192000E+0,2.500000E+1
-9.664986E-9,-9.293000E+0,2.500000E+1
-9.817221E-9,-9.394000E+0,2.500000E+1
-1.003998E-8,-9.495000E+0,2.500000E+1
-1.023941E-8,-9.596000E+0,2.500000E+1
-1.045253E-8,-9.697000E+0,2.500000E+1
-1.060272E-8,-9.798000E+0,2.500000E+1
-1.077678E-8,-9.899000E+0,2.500000E+1
-1.102543E-8,-1.000000E+1,2.500000E+1
