PDAC_COM5_00280

220
Contact Size, 0.190000_mm^2
Starting Voltage,0.000000_Volts
Ending Voltage,10.000000_Volts

Contact Number, 31.000000
Contact X position (mm), -24.000000
Contact Y position (mm), 0.000000

Current_A,Voltage_V, Temp_C
-1.117238E-9,0.000000E+0,2.500000E+1
2.035779E-10,-1.010000E-1,2.500000E+1
1.650172E-10,-2.020000E-1,2.500000E+1
2.000262E-10,-3.030000E-1,2.500000E+1
1.624804E-10,-4.040000E-1,2.500000E+1
1.690765E-10,-5.050000E-1,2.500000E+1
1.487813E-10,-6.060000E-1,2.500000E+1
1.229046E-10,-7.070000E-1,2.500000E+1
1.046394E-10,-8.080000E-1,2.500000E+1
7.368879E-11,-9.090000E-1,2.500000E+1
4.273856E-11,-1.010000E+0,2.500000E+1
1.990630E-11,-1.111000E+0,2.500000E+1
-5.011239E-11,-1.212000E+0,2.500000E+1
-9.222509E-11,-1.313000E+0,2.500000E+1
-1.343378E-10,-1.414000E+0,2.500000E+1
-1.754384E-10,-1.515000E+0,2.500000E+1
-2.058846E-10,-1.616000E+0,2.500000E+1
-2.738809E-10,-1.717000E+0,2.500000E+1
-3.484740E-10,-1.818000E+0,2.500000E+1
-3.890689E-10,-1.919000E+0,2.500000E+1
-4.743179E-10,-2.020000E+0,2.500000E+1
-5.788495E-10,-2.121000E+0,2.500000E+1
-5.971169E-10,-2.222000E+0,2.500000E+1
-7.199165E-10,-2.323000E+0,2.500000E+1
-7.742120E-10,-2.424000E+0,2.500000E+1
-8.787443E-10,-2.525500E+0,2.500000E+1
-9.502933E-10,-2.626500E+0,2.500000E+1
-1.053809E-9,-2.727500E+0,2.500000E+1
-1.143118E-9,-2.828500E+0,2.500000E+1
-1.264395E-9,-2.929500E+0,2.500000E+1
-1.331376E-9,-3.030500E+0,2.500000E+1
-1.490203E-9,-3.131500E+0,2.500000E+1
-1.586616E-9,-3.232500E+0,2.500000E+1
-1.639896E-9,-3.333500E+0,2.500000E+1
-1.756608E-9,-3.434500E+0,2.500000E+1
-1.904778E-9,-3.535500E+0,2.500000E+1
-2.081876E-9,-3.636500E+0,2.500000E+1
-2.228525E-9,-3.737500E+0,2.500000E+1
-2.413227E-9,-3.838500E+0,2.500000E+1
-2.279773E-9,-3.939500E+0,2.500000E+1
-2.016919E-9,-4.040500E+0,2.500000E+1
-2.136169E-9,-4.141500E+0,2.500000E+1
-2.431497E-9,-4.242500E+0,2.500000E+1
-2.503554E-9,-4.343500E+0,2.500000E+1
-2.763359E-9,-4.444500E+0,2.500000E+1
-2.847593E-9,-4.545500E+0,2.500000E+1
-3.073405E-9,-4.646500E+0,2.500000E+1
-3.148501E-9,-4.747500E+0,2.500000E+1
-3.358581E-9,-4.848500E+0,2.500000E+1
-3.601140E-9,-4.949500E+0,2.500000E+1
-3.798532E-9,-5.050500E+0,2.500000E+1
-3.949748E-9,-5.151500E+0,2.500000E+1
-3.982726E-9,-5.252500E+0,2.500000E+1
-4.344523E-9,-5.353500E+0,2.500000E+1
-4.617028E-9,-5.454500E+0,2.500000E+1
-4.795135E-9,-5.555500E+0,2.500000E+1
-5.061027E-9,-5.656500E+0,2.500000E+1
-5.336564E-9,-5.757500E+0,2.500000E+1
-5.547146E-9,-5.858500E+0,2.500000E+1
-5.657267E-9,-5.959500E+0,2.500000E+1
-6.060675E-9,-6.060500E+0,2.500000E+1
-8.786620E-9,-6.161500E+0,2.500000E+1
-7.105479E-9,-6.262500E+0,2.500000E+1
-8.130500E-9,-6.363500E+0,2.500000E+1
-8.549133E-9,-6.464500E+0,2.500000E+1
-9.181416E-9,-6.565500E+0,2.500000E+1
-9.912615E-9,-6.666500E+0,2.500000E+1
-1.184798E-8,-6.767500E+0,2.500000E+1
-1.249293E-8,-6.868500E+0,2.500000E+1
-1.450489E-8,-6.969500E+0,2.500000E+1
-1.389040E-8,-7.070500E+0,2.500000E+1
-1.527724E-8,-7.171500E+0,2.500000E+1
-1.675690E-8,-7.272500E+0,2.500000E+1
-1.693198E-8,-7.373500E+0,2.500000E+1
-1.792199E-8,-7.475000E+0,2.500000E+1
-1.758707E-8,-7.576000E+0,2.500000E+1
-1.871966E-8,-7.677000E+0,2.500000E+1
-1.758402E-8,-7.778000E+0,2.500000E+1
-2.072808E-8,-7.879000E+0,2.500000E+1
-2.075702E-8,-7.980000E+0,2.500000E+1
-2.209713E-8,-8.081000E+0,2.500000E+1
-2.344490E-8,-8.182000E+0,2.500000E+1
-2.372251E-8,-8.283000E+0,2.500000E+1
-2.633423E-8,-8.384000E+0,2.500000E+1
-2.571568E-8,-8.485000E+0,2.500000E+1
-2.652655E-8,-8.586000E+0,2.500000E+1
-2.574156E-8,-8.687000E+0,2.500000E+1
-2.780225E-8,-8.788000E+0,2.500000E+1
-3.010347E-8,-8.889000E+0,2.500000E+1
-3.030950E-8,-8.990000E+0,2.500000E+1
-3.211342E-8,-9.091000E+0,2.500000E+1
-3.422891E-8,-9.192000E+0,2.500000E+1
-3.974378E-8,-9.293000E+0,2.500000E+1
-4.289241E-8,-9.394000E+0,2.500000E+1
-4.054042E-8,-9.495000E+0,2.500000E+1
-4.270411E-8,-9.596000E+0,2.500000E+1
-4.636926E-8,-9.697000E+0,2.500000E+1
-5.870562E-8,-9.798000E+0,2.500000E+1
-1.525857E-7,-9.899000E+0,2.500000E+1
-2.340079E-7,-1.000000E+1,2.500000E+1
