PDAC_COM5_00280

220
Contact Size, 0.190000_mm^2
Starting Voltage,0.000000_Volts
Ending Voltage,10.000000_Volts

Contact Number, 32.000000
Contact X position (mm), -24.000000
Contact Y position (mm), 0.750000

Current_A,Voltage_V, Temp_C
-1.206041E-9,0.000000E+0,2.500000E+1
9.251391E-12,-1.010000E-1,2.500000E+1
-3.641307E-11,-2.020000E-1,2.500000E+1
-4.706812E-11,-3.030000E-1,2.500000E+1
-8.562919E-11,-4.040000E-1,2.500000E+1
-7.446688E-11,-5.050000E-1,2.500000E+1
-1.008506E-10,-6.060000E-1,2.500000E+1
-7.751102E-11,-7.070000E-1,2.500000E+1
-1.165795E-10,-8.080000E-1,2.500000E+1
-8.512179E-11,-9.090000E-1,2.500000E+1
-1.556484E-10,-1.010000E+0,2.500000E+1
-1.297714E-10,-1.111000E+0,2.500000E+1
-1.282492E-10,-1.212000E+0,2.500000E+1
-1.120129E-10,-1.313000E+0,2.500000E+1
-1.520964E-10,-1.414000E+0,2.500000E+1
-1.764533E-10,-1.515000E+0,2.500000E+1
-1.688417E-10,-1.616000E+0,2.500000E+1
-1.698566E-10,-1.717000E+0,2.500000E+1
-2.084218E-10,-1.818000E+0,2.500000E+1
-1.840648E-10,-1.919000E+0,2.500000E+1
-2.114663E-10,-2.020000E+0,2.500000E+1
-2.124812E-10,-2.121000E+0,2.500000E+1
-2.175556E-10,-2.222000E+0,2.500000E+1
-2.596727E-10,-2.323000E+0,2.500000E+1
-2.337935E-10,-2.424000E+0,2.500000E+1
-2.733735E-10,-2.525500E+0,2.500000E+1
-2.545983E-10,-2.626500E+0,2.500000E+1
-2.931632E-10,-2.727500E+0,2.500000E+1
-2.830148E-10,-2.828500E+0,2.500000E+1
-3.078790E-10,-2.929500E+0,2.500000E+1
-2.951932E-10,-3.030500E+0,2.500000E+1
-3.266542E-10,-3.131500E+0,2.500000E+1
-2.997601E-10,-3.232500E+0,2.500000E+1
-3.200575E-10,-3.333500E+0,2.500000E+1
-3.307135E-10,-3.434500E+0,2.500000E+1
-3.860241E-10,-3.535500E+0,2.500000E+1
-3.540558E-10,-3.636500E+0,2.500000E+1
-3.702937E-10,-3.737500E+0,2.500000E+1
-3.931283E-10,-3.838500E+0,2.500000E+1
-4.017548E-10,-3.939500E+0,2.500000E+1
-4.190075E-10,-4.040500E+0,2.500000E+1
-4.352457E-10,-4.141500E+0,2.500000E+1
-4.296636E-10,-4.242500E+0,2.500000E+1
-4.560503E-10,-4.343500E+0,2.500000E+1
-4.621396E-10,-4.444500E+0,2.500000E+1
-4.616321E-10,-4.545500E+0,2.500000E+1
-4.936005E-10,-4.646500E+0,2.500000E+1
-4.966449E-10,-4.747500E+0,2.500000E+1
-5.494186E-10,-4.848500E+0,2.500000E+1
-5.265837E-10,-4.949500E+0,2.500000E+1
-5.747902E-10,-5.050500E+0,2.500000E+1
-5.458669E-10,-5.151500E+0,2.500000E+1
-5.768205E-10,-5.252500E+0,2.500000E+1
-5.889981E-10,-5.353500E+0,2.500000E+1
-6.219819E-10,-5.454500E+0,2.500000E+1
-6.245195E-10,-5.555500E+0,2.500000E+1
-6.443088E-10,-5.656500E+0,2.500000E+1
-6.544571E-10,-5.757500E+0,2.500000E+1
-6.955591E-10,-5.858500E+0,2.500000E+1
-6.874408E-10,-5.959500E+0,2.500000E+1
-7.123046E-10,-6.060500E+0,2.500000E+1
-7.594966E-10,-6.161500E+0,2.500000E+1
-7.239763E-10,-6.262500E+0,2.500000E+1
-7.960325E-10,-6.363500E+0,2.500000E+1
-8.198818E-10,-6.464500E+0,2.500000E+1
-8.472841E-10,-6.565500E+0,2.500000E+1
-8.731622E-10,-6.666500E+0,2.500000E+1
-8.731615E-10,-6.767500E+0,2.500000E+1
-8.894004E-10,-6.868500E+0,2.500000E+1
-9.467411E-10,-6.969500E+0,2.500000E+1
-9.482627E-10,-7.070500E+0,2.500000E+1
-1.024378E-9,-7.171500E+0,2.500000E+1
-1.049243E-9,-7.272500E+0,2.500000E+1
-1.051780E-9,-7.373500E+0,2.500000E+1
-1.089330E-9,-7.475000E+0,2.500000E+1
-1.117745E-9,-7.576000E+0,2.500000E+1
-1.137536E-9,-7.677000E+0,2.500000E+1
-1.195891E-9,-7.778000E+0,2.500000E+1
-1.221772E-9,-7.879000E+0,2.500000E+1
-1.272513E-9,-7.980000E+0,2.500000E+1
-1.316662E-9,-8.081000E+0,2.500000E+1
-1.315648E-9,-8.182000E+0,2.500000E+1
-1.381106E-9,-8.283000E+0,2.500000E+1
-1.407492E-9,-8.384000E+0,2.500000E+1
-1.311586E-9,-8.485000E+0,2.500000E+1
-1.326302E-9,-8.586000E+0,2.500000E+1
-1.500353E-9,-8.687000E+0,2.500000E+1
-1.587631E-9,-8.788000E+0,2.500000E+1
-1.628734E-9,-8.889000E+0,2.500000E+1
-1.662733E-9,-8.990000E+0,2.500000E+1
-1.712969E-9,-9.091000E+0,2.500000E+1
-1.778426E-9,-9.192000E+0,2.500000E+1
-1.838812E-9,-9.293000E+0,2.500000E+1
-1.853529E-9,-9.394000E+0,2.500000E+1
-1.894630E-9,-9.495000E+0,2.500000E+1
-1.942329E-9,-9.596000E+0,2.500000E+1
-1.959074E-9,-9.697000E+0,2.500000E+1
-2.087962E-9,-9.798000E+0,2.500000E+1
-2.116888E-9,-9.899000E+0,2.500000E+1
-2.209747E-9,-1.000000E+1,2.500000E+1
