PDAC_COM5_00280

220
Contact Size, 0.190000_mm^2
Starting Voltage,0.000000_Volts
Ending Voltage,10.000000_Volts

Contact Number, 11.000000
Contact X position (mm), -8.000000
Contact Y position (mm), 0.000000

Current_A,Voltage_V, Temp_C
-1.166968E-9,0.000000E+0,2.500000E+1
1.472592E-10,-1.010000E-1,2.500000E+1
1.036244E-10,-2.020000E-1,2.500000E+1
1.005802E-10,-3.030000E-1,2.500000E+1
7.724045E-11,-4.040000E-1,2.500000E+1
6.354160E-11,-5.050000E-1,2.500000E+1
5.694531E-11,-6.060000E-1,2.500000E+1
2.548740E-11,-7.070000E-1,2.500000E+1
5.694541E-11,-8.080000E-1,2.500000E+1
1.990622E-11,-9.090000E-1,2.500000E+1
3.162720E-12,-1.010000E+0,2.500000E+1
-2.575798E-11,-1.111000E+0,2.500000E+1
-6.533383E-11,-1.212000E+0,2.500000E+1
-5.163449E-11,-1.313000E+0,2.500000E+1
-1.109982E-10,-1.414000E+0,2.500000E+1
-1.033875E-10,-1.515000E+0,2.500000E+1
-1.399190E-10,-1.616000E+0,2.500000E+1
-1.592005E-10,-1.717000E+0,2.500000E+1
-2.160333E-10,-1.818000E+0,2.500000E+1
-2.134962E-10,-1.919000E+0,2.500000E+1
-2.880891E-10,-2.020000E+0,2.500000E+1
-2.946859E-10,-2.121000E+0,2.500000E+1
-3.829796E-10,-2.222000E+0,2.500000E+1
-3.982027E-10,-2.323000E+0,2.500000E+1
-4.727958E-10,-2.424000E+0,2.500000E+1
-5.199878E-10,-2.525500E+0,2.500000E+1
-5.580450E-10,-2.626500E+0,2.500000E+1
-6.265491E-10,-2.727500E+0,2.500000E+1
-7.498562E-10,-2.828500E+0,2.500000E+1
-7.853763E-10,-2.929500E+0,2.500000E+1
-9.005641E-10,-3.030500E+0,2.500000E+1
-1.012199E-9,-3.131500E+0,2.500000E+1
-1.106077E-9,-3.232500E+0,2.500000E+1
-1.225831E-9,-3.333500E+0,2.500000E+1
-1.307529E-9,-3.434500E+0,2.500000E+1
-1.445551E-9,-3.535500E+0,2.500000E+1
-1.554649E-9,-3.636500E+0,2.500000E+1
-1.698254E-9,-3.737500E+0,2.500000E+1
-1.826637E-9,-3.838500E+0,2.500000E+1
-1.953494E-9,-3.939500E+0,2.500000E+1
-2.071220E-9,-4.040500E+0,2.500000E+1
-2.201122E-9,-4.141500E+0,2.500000E+1
-2.357919E-9,-4.242500E+0,2.500000E+1
-2.535016E-9,-4.343500E+0,2.500000E+1
-2.725304E-9,-4.444500E+0,2.500000E+1
-2.925740E-9,-4.545500E+0,2.500000E+1
-3.111973E-9,-4.646500E+0,2.500000E+1
-3.235279E-9,-4.747500E+0,2.500000E+1
-3.374313E-9,-4.848500E+0,2.500000E+1
-3.622453E-9,-4.949500E+0,2.500000E+1
-3.810201E-9,-5.050500E+0,2.500000E+1
-4.002015E-9,-5.151500E+0,2.500000E+1
-4.155261E-9,-5.252500E+0,2.500000E+1
-4.350115E-9,-5.353500E+0,2.500000E+1
-4.585563E-9,-5.454500E+0,2.500000E+1
-4.829136E-9,-5.555500E+0,2.500000E+1
-4.925038E-9,-5.656500E+0,2.500000E+1
-5.240163E-9,-5.757500E+0,2.500000E+1
-5.420809E-9,-5.858500E+0,2.500000E+1
-5.631895E-9,-5.959500E+0,2.500000E+1
-5.958177E-9,-6.060500E+0,2.500000E+1
-6.237263E-9,-6.161500E+0,2.500000E+1
-6.436688E-9,-6.262500E+0,2.500000E+1
-6.723900E-9,-6.363500E+0,2.500000E+1
-7.092803E-9,-6.464500E+0,2.500000E+1
-7.213585E-9,-6.565500E+0,2.500000E+1
-7.554065E-9,-6.666500E+0,2.500000E+1
-7.806771E-9,-6.767500E+0,2.500000E+1
-7.972699E-9,-6.868500E+0,2.500000E+1
-8.161468E-9,-6.969500E+0,2.500000E+1
-8.537476E-9,-7.070500E+0,2.500000E+1
-9.029172E-9,-7.171500E+0,2.500000E+1
-9.347843E-9,-7.272500E+0,2.500000E+1
-9.409248E-9,-7.373500E+0,2.500000E+1
-9.964376E-9,-7.475000E+0,2.500000E+1
-1.036474E-8,-7.576000E+0,2.500000E+1
-1.065044E-8,-7.677000E+0,2.500000E+1
-1.096658E-8,-7.778000E+0,2.500000E+1
-1.125226E-8,-7.879000E+0,2.500000E+1
-1.140449E-8,-7.980000E+0,2.500000E+1
-1.174041E-8,-8.081000E+0,2.500000E+1
-1.189518E-8,-8.182000E+0,2.500000E+1
-1.216868E-8,-8.283000E+0,2.500000E+1
-1.257767E-8,-8.384000E+0,2.500000E+1
-1.299734E-8,-8.485000E+0,2.500000E+1
-1.342155E-8,-8.586000E+0,2.500000E+1
-1.428723E-8,-8.687000E+0,2.500000E+1
-1.455465E-8,-8.788000E+0,2.500000E+1
-1.501388E-8,-8.889000E+0,2.500000E+1
-1.589122E-8,-8.990000E+0,2.500000E+1
-1.640679E-8,-9.091000E+0,2.500000E+1
-1.654024E-8,-9.192000E+0,2.500000E+1
-1.680868E-8,-9.293000E+0,2.500000E+1
-1.711720E-8,-9.394000E+0,2.500000E+1
-1.755157E-8,-9.495000E+0,2.500000E+1
-1.818030E-8,-9.596000E+0,2.500000E+1
-1.854615E-8,-9.697000E+0,2.500000E+1
-1.903886E-8,-9.798000E+0,2.500000E+1
-1.943364E-8,-9.899000E+0,2.500000E+1
-1.990302E-8,-1.000000E+1,2.500000E+1
