************************************************************************
Output generated by CrystalDiffract 6 for macOS                         
Copyright (c) 1996-2018 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp

  0   1   0   2.70633   33.0711   1.35704e+01  100.0%   6     1     5.480
  0   0   2   2.50000   35.8895   8.40451e+00   61.9%   2     4     4.585
  0   1   1   2.38005   37.7649   1.26947e+01   93.5%  12     2     4.099
  0   1   2   1.83638   49.5983   4.61907e+00   34.0%  12     5     2.223
  1   1   0   1.56250   59.0706   8.33272e+00   61.4%   6     2     1.495
  0   1   3   1.41914   65.7431   7.36340e+00   54.3%  12    10     1.181
  0   2   0   1.35316   69.3919   1.21773e+00    9.0%   6     4     1.055
  1   1   2   1.32500   71.0871   5.78941e+00   42.7%  12     6     1.005
  0   2   1   1.30618   72.2712   2.06541e+00   15.2%  12     5     0.973
  0   0   4   1.25000   76.0783   2.82608e-01    2.1%   2    16     0.884
  0   2   2   1.19003   80.6698   9.99547e-01    7.4%  12     8     0.803
  0   1   4   1.13480   85.4926   3.20926e-01    2.4%  12    17     0.743
  0   2   3   1.05052   94.3122   2.73868e+00   20.2%  12    13     0.688
  1   2   0   1.02290   97.7034   1.01521e+00    7.5%  12     5     0.682
  1   2   1   1.00214  100.4576   2.01212e+00   14.8%  24     6     0.683
  1   1   4   0.97609  104.2069   9.38601e-01    6.9%  12    18     0.693
  1   2   2   0.94672  108.8987   1.21332e+00    8.9%  24     9     0.718
  0   1   5   0.93801  110.4003   2.61784e+00   19.3%  12    26     0.729
  0   2   4   0.91819  114.0435   2.26241e-01    1.7%  12    20     0.761
  0   3   0   0.90211  117.2618   1.88335e+00   13.9%   6     9     0.797
  0   3   1   0.88778  120.3659   5.06102e-07    0.0%  12    10     0.839
  1   2   3   0.87180  124.1395   5.06304e+00   37.3%  24    14     0.899
  0   3   2   0.84856  130.3841   2.78156e+00   20.5%  12    13     1.027
  0   0   6   0.83333  135.1261   3.95091e-01    2.9%   2    36     1.152
  0   2   5   0.80422  146.5738   4.24292e+00   31.3%  12    29     1.608
  0   1   6   0.79643  150.5363   8.54578e-01    6.3%  12    37     1.848
  0   3   3   0.79335  152.2789   2.40168e-06    0.0%  12    18     1.975
  1   2   4   0.79163  153.3100   8.12125e-01    6.0%  24    21     2.057
  2   2   0   0.78125  160.7478   1.70967e+00   12.6%   2     8     2.909
